68.238.58.62	80	HTTP	None	United States Proxy United States	New Hampshire	Salem	45.1%	
194.233.69.38	443	HTTP	None	Singapore Proxy Singapore		Singapore	26.4%	
119.28.155.202	9999	HTTP	None	China Proxy China	Beijing	Beijing	35.3%	
222.65.228.96	8085	HTTP	None	China Proxy China	Shanghai	Huangpu	58.9%	
68.238.58.56	80	HTTP	None	United States Proxy United States	New Hampshire	Salem	32.6%	
167.172.239.13	3128	HTTP	None	United States Proxy United States	New Jersey	Clifton	14.3%	
156.200.116.78	1976	HTTP	None	Egypt Proxy Egypt			41.9%	
114.55.84.12	30001	HTTP	None	China Proxy China	Zhejiang	Hangzhou	48.6%	
213.194.138.83	80	HTTP	None	Spain Proxy Spain	Granada	Granada	37.1%	
43.255.113.232	8081	HTTP	None	Cambodia Proxy Cambodia	Phnom Penh	Phnom Penh	41.1%	
103.123.234.106	8080	HTTP	None	India Proxy India	Odisha	Soro	9.7%	
47.119.152.117	22	HTTPS	None	China Proxy China	Guangdong	Shenzhen	29.6%	
20.81.62.32	3128	HTTP	None	United States Proxy United States	Virginia	Tappahannock	24.0%	
103.81.105.121	80	HTTP	None	Bangladesh Proxy Bangladesh	Manikganj	Manikganj	50.0%	
18.169.177.73	23230	HTTPS	None	United Kingdom Proxy United Kingdom	England	London	9.4%	
43.255.113.232	8086	HTTP	None	Cambodia Proxy Cambodia	Phnom Penh	Phnom Penh	37.1%	
103.126.150.177	80	HTTP	None	Bangladesh Proxy Bangladesh	Dhaka	Dhaka	84.7%	
120.133.231.92	8000	HTTPS	None	China Proxy China			42.3%	
109.194.101.128	3128	HTTP	None	Russia Proxy Russia	Mariy-El Republic	Yoshkar-Ola	10.1%	
120.78.157.57	22	HTTP	None	China Proxy China	Guangdong	Shenzhen	40.8%	
194.233.67.98	443	HTTP	None	Singapore Proxy Singapore		Singapore	10.3%	
51.81.80.44	80	HTTP	None	United States Proxy United States			17.4%	
103.81.105.127	80	HTTP	None	Bangladesh Proxy Bangladesh	Manikganj	Manikganj	100.0%	
41.223.136.162	80	HTTP	None	Nigeria Proxy Nigeria	Adamawa	Jimeta	15.7%	
139.162.60.230	8080	HTTPS	None	Singapore Proxy Singapore		Singapore	15.7%	
118.140.160.84	80	HTTP	None	Hong Kong Proxy Hong Kong		Central District	90.4%	
59.11.52.237	80	HTTP	None	Korea Proxy Korea	Gyeonggi-do	Hwaseong-si	30.9%	
51.103.137.65	80	HTTP	None	Switzerland Proxy Switzerland	Zurich	Zurich	10.9%	
103.148.72.192	80	HTTP	None	Hong Kong Proxy Hong Kong			66.0%	
178.54.21.203	8081	HTTP	None	Ukraine Proxy Ukraine	Kyiv Oblast	Vyshhorod	24.5%	
43.255.113.232	8082	HTTP	None	Cambodia Proxy Cambodia	Phnom Penh	Phnom Penh	41.3%	
185.61.152.137	8080	HTTP	None	United Kingdom Proxy United Kingdom			26.2%	
114.220.74.140	8118	HTTP	None	China Proxy China			30.3%	
43.255.113.232	86	HTTP	None	Cambodia Proxy Cambodia	Phnom Penh	Phnom Penh	41.1%	
31.42.57.1	8080	HTTP	None	Ukraine Proxy Ukraine			2.3%	
154.236.168.179	1981	HTTP	None	Egypt Proxy Egypt			22.6%	
114.67.71.184	3128	HTTPS	None	China Proxy China			86.4%	
43.255.113.232	8080	HTTP	None	Cambodia Proxy Cambodia	Phnom Penh	Phnom Penh	41.1%	
103.81.105.125	80	HTTP	None	Bangladesh Proxy Bangladesh	Manikganj	Manikganj	37.5%	
91.134.136.29	9000	HTTP	None	France Proxy France			7.2%	
103.138.164.82	80	HTTP	None	Bangladesh Proxy Bangladesh	Dhaka	Dhaka	53.3%	
58.246.58.150	9002	HTTP	None	China Proxy China	Shanghai	Xuhui	89.4%	
39.108.94.76	22	HTTP	None	China Proxy China	Guangdong	Shenzhen	36.9%	
175.144.112.239	80	HTTP	None	Malaysia Proxy Malaysia	Selangor	Kajang	52.6%	
162.241.55.222	1081	HTTPS	None	United States Proxy United States			40.0%	
41.65.0.195	1981	HTTP	None	Egypt Proxy Egypt	Cairo Governorate	Cairo	6.6%	
154.236.177.100	1981	HTTP	None	Egypt Proxy Egypt			12.7%	
103.121.38.138	80	HTTP	None	Bangladesh Proxy Bangladesh	Chittagong	Chittagong	83.3%	
182.38.126.193	8000	HTTP	None	China Proxy China	Beijing	Beijing	36.6%	
182.155.249.76	80	HTTP	None	Taiwan Proxy Taiwan	Taichung City	Taichung	34.9%
47.104.237.35	81	HTTP	None	China Proxy China	Shandong	Qingdao	44.1%	
18.169.177.73	23230	HTTPS	None	United Kingdom Proxy United Kingdom	England	London	9.4%	
182.155.249.76	80	HTTP	None	Taiwan Proxy Taiwan	Taichung City	Taichung	34.9%	
180.183.228.40	8080	HTTP	None	Thailand Proxy Thailand	Chiang Mai	Chiang Mai	21.2%	
27.192.48.220	11111	HTTP	None	China Proxy China	Tianjin	Xiyuzhuang	34.8%	
167.172.239.13	3128	HTTP	None	United States Proxy United States	New Jersey	Clifton	14.3%	
114.67.71.184	3128	HTTPS	None	China Proxy China			86.4%	
103.140.126.57	8888	HTTPS	None	China Proxy China			13.5%	
113.214.4.8	84	HTTP	None	China Proxy China			12.8%	
185.61.152.137	8080	HTTP	None	United Kingdom Proxy United Kingdom			26.2%	
114.55.84.12	30001	HTTP	None	China Proxy China	Zhejiang	Hangzhou	48.6%	
41.33.47.149	1976	HTTP	None	Egypt Proxy Egypt	Dakahlia	Talkha	17.5%	
47.92.113.71	80	HTTP	None	Canada Proxy Canada	Ontario	Ottawa	48.0%	
218.6.173.81	443	HTTP	None	China Proxy China			61.7%	
36.134.91.82	8888	HTTP	None	China Proxy China			30.8%	
41.65.174.120	1981	HTTP	None	Egypt Proxy Egypt			20.0%	
106.14.255.124	80	HTTP	None	China Proxy China	Shanghai	Shanghai	76.7%	
47.97.203.12	22	HTTP	None	China Proxy China	Zhejiang	Hangzhou	26.8%	
181.176.211.168	8080	HTTP	None	Peru Proxy Peru			48.4%	
103.138.182.3	80	HTTP	None	Bangladesh Proxy Bangladesh			64.0%	
167.86.81.208	3128	HTTPS	None	Germany Proxy Germany	Bavaria	Nuremberg	19.5%	
140.227.61.156	23456	HTTPS	None	Japan Proxy Japan	Saitama	Soka	62.1%	
103.81.105.121	80	HTTP	None	Bangladesh Proxy Bangladesh	Manikganj	Manikganj	60.0%	
120.133.231.92	8000	HTTPS	None	China Proxy China			42.3%	
43.155.111.39	80	HTTP	None	China Proxy China			16.3%	
103.145.76.44	80	HTTP	None	Bangladesh Proxy Bangladesh			53.7%	
107.151.182.247	80	HTTP	None	United States Proxy United States			90.3%	
194.5.193.183	80	HTTP	None	France Proxy France			91.7%	
182.38.126.193	8000	HTTP	None	China Proxy China	Beijing	Beijing	36.8%	
86.123.166.13	8080	HTTP	None	Romania Proxy Romania	Brasov	Brasov	2.5%	
12.69.91.226	80	HTTP	None	United States Proxy United States	California	Sacramento	37.2%	
43.255.113.232	86	HTTP	None	Cambodia Proxy Cambodia	Phnom Penh	Phnom Penh	41.1%	
140.227.211.47	8080	HTTPS	None	United States Proxy United States	Florida	Palm Bay	88.0%	
112.6.117.135	8085	HTTP	None	China Proxy China	Beijing	Beijing	83.6%	
5.39.189.39	3128	HTTPS	None	Netherlands Proxy Netherlands	South Holland	Bleiswijk	26.5%	
213.194.138.83	80	HTTP	None	Spain Proxy Spain	Granada	Granada	37.1%	
175.144.112.239	80	HTTP	None	Malaysia Proxy Malaysia	Selangor	Kajang	52.6%	
147.182.236.231	3128	HTTPS	None	United States Proxy United States	California	Santa Clara	27.1%	
125.17.4.72	80	HTTP	None	India Proxy India	Karnataka	Bengaluru	29.9%	
14.97.190.98	80	HTTP	None	India Proxy India			100.0%	
140.227.25.56	5678	HTTPS	None	Japan Proxy Japan	Aichi	Nagoya	69.0%	
175.144.112.238	80	HTTP	None	Malaysia Proxy Malaysia	Selangor	Kajang	48.8%	
222.216.37.138	808	HTTP	None	China Proxy China	Beijing	Chengbei	21.9%	
120.78.86.191	3128	HTTP	None	China Proxy China	Guangdong	Shenzhen	14.9%	
103.197.251.202	80	HTTP	None	Bangladesh Proxy Bangladesh	Dhaka	Dhaka	50.6%	
118.140.160.84	80	HTTP	None	Hong Kong Proxy Hong Kong		Central District	90.4%	
170.155.5.235	8080	HTTPS	None	Argentina Proxy Argentina	Buenos Aires	Moron	62.4%	
219.246.65.55	80	HTTP	None	China Proxy China	Gansu	Lanzhou	40.0%	
91.134.136.29	9000	HTTP	None	France Proxy France			7.2%	
61.83.210.35	80	HTTP	None	Korea Proxy Korea	Gyeonggi-do	Yongin-si	30.2%
197.149.56.118	8080	HTTPS	None	Madagascar Proxy Madagascar		Ambodilazana	13.7%	
125.17.4.72	80	HTTP	None	India Proxy India	Karnataka	Bengaluru	29.9%	
154.85.58.149	80	HTTP	None	United States Proxy United States	California	Los Angeles	44.0%	
103.81.105.53	80	HTTP	None	Bangladesh Proxy Bangladesh	Manikganj	Manikganj	40.6%	
103.81.105.58	80	HTTP	None	Bangladesh Proxy Bangladesh	Manikganj	Manikganj	55.0%	
39.106.228.34	8082	HTTPS	None	China Proxy China	Beijing	Beijing	82.7%	
140.227.211.47	8080	HTTPS	None	United States Proxy United States	Florida	Palm Bay	88.0%	
140.227.25.56	5678	HTTPS	None	Japan Proxy Japan	Aichi	Nagoya	69.0%	
109.194.101.128	3128	HTTP	None	Russia Proxy Russia	Mariy-El Republic	Yoshkar-Ola	10.6%	
12.69.91.226	80	HTTP	None	United States Proxy United States	California	Sacramento	37.2%	
8.142.142.250	80	HTTP	None	China Proxy China	Beijing	Beijing	38.0%	
103.138.164.82	80	HTTP	None	Bangladesh Proxy Bangladesh	Dhaka	Dhaka	53.5%	
188.168.222.134	80	HTTP	None	Russia Proxy Russia	Komi	Syktyvkar	28.1%	
36.134.91.82	8888	HTTP	None	China Proxy China			30.8%	
18.169.177.73	23230	HTTPS	None	United Kingdom Proxy United Kingdom	England	London	9.4%	
14.97.190.101	80	HTTP	None	India Proxy India			75.0%	
86.123.166.13	8080	HTTP	None	Romania Proxy Romania	Brasov	Brasov	2.5%	
207.180.221.178	3128	HTTP	None	Germany Proxy Germany	Bavaria	Nuremberg	30.0%	
43.134.189.122	8888	HTTPS	None	Singapore Proxy Singapore			56.4%	
130.185.119.20	3128	HTTP	None	United States Proxy United States	New York	New York	31.1%	
101.132.189.87	9090	HTTP	None	China Proxy China			56.9%	
187.217.54.84	80	HTTP	None	Mexico Proxy Mexico	Mexico City	Mexico City	52.3%	
175.144.112.238	80	HTTP	None	Malaysia Proxy Malaysia	Selangor	Kajang	48.8%	 
103.138.182.3	80	HTTP	None	Bangladesh Proxy Bangladesh			64.0%	
178.54.21.203	8081	HTTP	None	Ukraine Proxy Ukraine	Kyiv Oblast	Vyshhorod	24.5%	
